Назва, Зарплата, Примітка, Організація, Посилання
"Промоутер, продавець-консультант (побутова техніка)",,,Samsung Electronics Ukraine Company,https://www.work.ua//jobs/3833069/
"Продавец-консультант (Палац Украина, Печерськ)",12 000 – 16 000 грн,(ставка + %),"Кузьменко О.В., ФОП",https://www.work.ua//jobs/4476375/
Продавец-консультант парфюмерии,10 200 – 22 800 грн,,D&Р perfumum,https://www.work.ua//jobs/4476364/
Помощник руководителя в приёмную Леонида Черновецкого,67 500 грн,Зарплата: 2500$,"Правэкс, ООО",https://www.work.ua//jobs/3448219/
"Оператор 1С, менеджер по продажам",16 000 грн,,"ОТС-Украина, ООО",https://www.work.ua//jobs/4476256/
"Менеджер по продажам (английский, рынок США)",30 000 – 72 000 грн,Ставка + высокий процент от продаж,Supplax,https://www.work.ua//jobs/4455848/
Водитель на авто компании (Uklon),20 000 – 40 000 грн,,M3drive,https://www.work.ua//jobs/4353308/
"Продавець-консультант одягу для чоловіків (ТРЦ ""Ретровіль"")",15 000 – 20 000 грн,,"Мех И.Ф., ФЛП",https://www.work.ua//jobs/3161995/
Бухгалтер по первичной документации,12 000 грн,12000 грн ставка,"SexyFairy, магазин женской обуви",https://www.work.ua//jobs/1937565/
Модель в брачное агентство,5 000 – 50 000 грн,сумма зависит от активности вашей анкеты на сайте,Two Hearts,https://www.work.ua//jobs/3194771/
Бухгалтер,,,Glovo,https://www.work.ua//jobs/3857640/
Бариста,13 000 грн,,"Ulitka Coffee, студія кави",https://www.work.ua//jobs/2833825/
"Автослесарь-ходовик, автомеханик",30 000 – 65 000 грн,Гарантированная ставка 20 000грн,Oiler,https://www.work.ua//jobs/4059919/
Младший юрист со знанием английского,12 000 – 18 000 грн,Ставка + KPI бонус + % от сделок,"B free, юридична компанія",https://www.work.ua//jobs/4490219/
